Features,NBAcc,NNAcc
"['StarRating', 'ReviewLength', 'UserAvgVotePerReview']",52.18563786,57.42246966
"['UserAvgVotePerReview', 'BusinessReviewCount', 'NumCheckins']",52.31177417,56.83310861
"['StarRating', 'NumKeyWords', 'UserAvgVotePerReview']",54.21251794,56.72219564
"['ReviewLength', 'UserAvgVotePerReview', 'BusinessReviewCount']",53.94067244,56.55038928
"['UserAvgVotePerReview', 'BusinessOpen', 'NumCheckins']",54.07333304,56.50906877
"['StarRating', 'UserAvgVotePerReview', 'BusinessOpen']",53.62315689,56.47862207
"['NumKeyWords', 'UserAvgVotePerReview', 'BusinessReviewCount']",51.6267235,56.40902962
"['NumKeyWords', 'UserAvgVotePerReview', 'NumCheckins']",54.08638163,56.32421382
"['StarRating', 'UserAvgVotePerReview', 'NumCheckins']",54.78448088,56.24374755
"['UserAvgVotePerReview', 'BusinessReviewCount', 'BusinessOpen']",53.56226349,56.23939803
"['ReviewLength', 'UserAvgVotePerReview', 'NumCheckins']",54.08638163,55.76529947
"['ReviewLength', 'UserAvgVotePerReview', 'BusinessOpen']",53.14035927,55.75660041
"['NumKeyWords', 'UserAvgVotePerReview', 'BusinessOpen']",52.58579444,54.58005306
"['StarRating', 'ReviewLength', 'BusinessOpen']",47.54686617,51.64847114
"['StarRating', 'ReviewLength', 'NumKeyWords']",45.45039363,51.63759732
"['StarRating', 'ReviewLength', 'BusinessReviewCount']",48.26888783,51.51363577
"['ReviewLength', 'NumKeyWords', 'BusinessOpen']",44.80448871,51.46796573
"['StarRating', 'ReviewLength', 'NumCheckins']",49.04962812,51.32225654
"['ReviewLength', 'NumKeyWords', 'NumCheckins']",45.6700448,51.30703319
"['ReviewLength', 'BusinessReviewCount', 'BusinessOpen']",47.18368057,51.22439215
"['ReviewLength', 'BusinessOpen', 'NumCheckins']",48.78213214,51.2156931
"['ReviewLength', 'NumKeyWords', 'BusinessReviewCount']",44.72402244,51.13522683
"['ReviewLength', 'BusinessReviewCount', 'NumCheckins']",48.58640338,51.10478013
"['StarRating', 'NumKeyWords', 'BusinessReviewCount']",47.99921708,50.24357357
"['StarRating', 'NumKeyWords', 'BusinessOpen']",47.05101996,50.17833065
"['StarRating', 'NumKeyWords', 'NumCheckins']",47.92092558,49.98042712
"['NumKeyWords', 'BusinessOpen', 'NumCheckins']",48.13405246,49.82166935
"['NumKeyWords', 'BusinessReviewCount', 'NumCheckins']",48.27323735,49.77817407
"['NumKeyWords', 'BusinessReviewCount', 'BusinessOpen']",46.73567918,49.65638728
"['StarRating', 'UserAvgVotePerReview', 'BusinessReviewCount']",49.1170458,49.38236701
"['StarRating', 'BusinessReviewCount', 'BusinessOpen']",48.87347223,49.01265713
"['StarRating', 'BusinessReviewCount', 'NumCheckins']",48.73428733,49.01265713
"['BusinessReviewCount', 'BusinessOpen', 'NumCheckins']",48.82345266,49.01265713
"['StarRating', 'BusinessOpen', 'NumCheckins']",48.82780218,49.00395807
"['ReviewLength', 'NumKeyWords', 'UserAvgVotePerReview']",43.77582532,44.43477883
